,Start Port,Start Week,Destination,Duration,Voyage Distance,Cargo,Weight,Currency,Rate,Break Even Rate,Profit,Total Value,Total Cost,Port Costs,Fuel Costs,Canal Costs,Minimum Speed,Optimal Speed,Sailing Duration,Non-Sailing Time
0,Guangzhou,2,Tubarao,8,10158,Woodproducts,40270,USD,22.77,6.737589772312276,645625.1598689847,916947.9,271322.74013101537,119088.6,151950.9212665465,0,9.065048665812224,9.46666370749726,1073.0285044302595,223.43238095238095
4,New York,3,Shanghai,11,14468,Agribulk,46848,USD,19.23,7.280832925660453,559794.5790986591,900887.04,341092.46090134094,119666.70000000001,221142.54203687207,0,8.987925317472307,9.26463735844828,1561.636947052963,238.2848
2,Rotterdam,2,Marseille,3,2051,Alumina,23091,USD,25.05,6.409971707624111,430416.8932992517,578429.55,148012.65670074834,119088.6,28640.83783627948,0,6.020340591008998,10.140808375513707,202.25212074339208,163.32160000000002
1,Chiba,2,Pasir Gudang,5,2907,Manufactureds,23778,USD,24.09,6.635707064284522,415028.1774254427,572812.02,157783.84257455735,116776.20000000001,40724.42371008847,0,4.86574196288177,10.108393175931308,287.58279871045596,242.5577142857143
6,New York,4,Rotterdam,4,3383,Coal,67857,USD,8.63,2.5833568756774903,410307.0624871526,585605.91,175298.84751284745,120244.8,54770.8286483786,0,8.299850272537627,8.746717140493498,386.77368270412916,264.4022857142857
7,New York,2,Corpus Christi,5,1964,Agribulk,39813,USD,11.25,3.7931539133245873,296879.41324880824,447896.25,151016.8367511918,121401.0,29332.617886722925,0,38.89786735114243,9.481629263763022,207.13739647109313,789.5088000000001
3,Corpus Christi,11,New York,4,1964,Grain,26050,USD,13.16,5.738276485137874,193335.89756215838,342818.0,149482.10243784162,121401.0,27797.883573372754,0,4.645222327341533,10.005115429997346,196.29958432178938,249.20000000000002
5,New York,2,Corpus Christi,4,1964,Agribulk,23616,USD,11.25,6.316795313966262,116502.56186537276,265680.0,149177.43813462724,121401.0,27493.21927015837,0,6.859622231802143,10.115987248642377,194.14812926574024,385.68685714285715
8,Antwerp,2,Hamburg,2,405,Agribulk,6007,USD,38.09,20.72447901965558,104314.68452892896,228806.63000000003,124491.94547107107,119088.6,5120.126606602201,0,1.5428985667098183,11.201260805458137,36.156644063019414,73.50704761904761
